取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳
43,2025/04/07,広告宣伝費,,,,課税仕入 10%,,28700,2609,未払金,ｱﾒﾘｶﾝEX,,,対象外,,28700,0,GOOGLE ADS,,,簡単入力,No
50,2025/04/07,旅費交通費,,,,課税仕入 10%,,1600,145,現金,,,,対象外,,1600,0,JR西日本 交通費,,,簡単入力,No
66,2025/04/07,車両費,,,,課税仕入 10%,,6600,600,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6600,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
85,2025/04/07,旅費交通費,,,,課税仕入 10%,,1700,154,現金,,,,対象外,,1700,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
42,2025/04/08,広告宣伝費,,,,課税仕入 10%,,57000,5181,未払金,VISA,,,対象外,,57000,0,ﾗｸﾃﾝ ｺｳｺｸ,,,簡単入力,No
45,2025/04/08,会議費,,,,課税仕入 10%,,1800,163,現金,,,,対象外,,1800,0,STARBUCKS #12345,,,簡単入力,No
49,2025/04/08,旅費交通費,,,,課税仕入 10%,,1400,127,現金,,,,対象外,,1400,0,JR西日本 交通費,,,簡単入力,No
73,2025/04/08,会議費,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
75,2025/04/08,会議費,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
88,2025/04/08,通信費,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
24,2025/04/09,仕入高,,,,課税仕入 10%,,114500,10409,未払金,ｱﾒﾘｶﾝEX,,,対象外,,114500,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
44,2025/04/09,会議費,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,STARBUCKS #12345,,,簡単入力,No
46,2025/04/09,消耗品費,,,,課税仕入 10%,,3600,327,現金,,,,対象外,,3600,0,コクヨ 事務用品,,,簡単入力,No
48,2025/04/09,消耗品費,,,,課税仕入 10%,,3700,336,未払金,VISA,,,対象外,,3700,0,ｱｽｸﾙ,,,簡単入力,No
19,2025/04/10,仕入高,,,,課税仕入 10%,,13500,1227,未払金,VISA,,,対象外,,13500,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
99,2025/04/10,預り金,源泉所得税,,,対象外,,45000,0,普通預金,日本信金,,,対象外,,45000,0,ｾﾞｲﾑｼﾖ ｹﾞﾝｾﾝ 納付,,,振替伝票,No
100,2025/04/10,預り金,住民税,,,対象外,,30000,0,普通預金,日本信金,,,対象外,,30000,0,ｼﾞﾕｳﾐﾝｾﾞｲ 納付,,,振替伝票,No
90,2025/04/11,荷造運賃,,,,課税仕入 10%,,1100,100,現金,,,,対象外,,1100,0,日本郵便 ゆうパック,,,簡単入力,No
82,2025/04/12,旅費交通費,,,,課税仕入 10%,,1100,100,現金,,,,対象外,,1100,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
21,2025/04/13,仕入高,,,,課税仕入 10%,,8100,736,未払金,VISA,,,対象外,,8100,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
26,2025/04/13,仕入高,,,,課税仕入 10%,,77000,7000,未払金,VISA,,,対象外,,77000,0,ﾋﾞﾂｸｶﾒﾗ ﾅﾝﾊﾞﾃﾝ,,,簡単入力,No
47,2025/04/13,消耗品費,,,,課税仕入 10%,,2400,218,現金,,,,対象外,,2400,0,コクヨ 事務用品,,,簡単入力,No
83,2025/04/13,旅費交通費,,,,課税仕入 10%,,1600,145,現金,,,,対象外,,1600,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
74,2025/04/14,会議費,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
91,2025/04/14,会議費,,,,課税仕入 10%,,1200,109,現金,,,,対象外,,1200,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
97,2025/04/14,現金,,,,対象外,,184300,0,普通預金,三井住友BK,,,対象外,,59300,0,ATM 引出し,,,振替伝票,No
3,2025/04/15,普通預金,三井住友BK,,,対象外,,603000,0,売掛金,,,,対象外,,603000,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
3,2025/04/15,支払手数料,,,,課税仕入 10%,,27200,2472,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
3,2025/04/15,販売促進費,,,,課税仕入 10%,,5600,509,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
5,2025/04/15,普通預金,三井住友BK,,,対象外,,560900,0,売掛金,,,,対象外,,560900,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
5,2025/04/15,支払手数料,,,,課税仕入 10%,,31500,2863,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
5,2025/04/15,広告宣伝費,,,,課税仕入 10%,,18400,1672,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
9,2025/04/15,売掛金,,,,対象外,,709400,0,売上高,,,,課税売上 10%,,669700,60881,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
10,2025/04/15,売掛金,,,,対象外,,905300,0,売上高,,,,課税売上 10%,,998300,90754,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
51,2025/04/15,旅費交通費,,,,課税仕入 10%,,1300,118,現金,,,,対象外,,1300,0,JR西日本 交通費,,,簡単入力,No
60,2025/04/15,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
69,2025/04/15,車両費,,,,課税仕入 10%,,4800,436,未払金,VISA,,,対象外,,4800,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
77,2025/04/15,会議費,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
1112,2025/04/15,支払手数料,,,,課税仕入 10%,,11000,1000,普通預金,三井住友BK,,,対象外,,11000,0,三井住友ｶｰﾄﾞ 年会費,,,振替伝票,No
31,2025/04/16,通信費,,,,課税仕入 10%,,19700,1790,未払金,VISA,,,対象外,,19700,0,NTTﾄﾞｺﾓ,,,簡単入力,No
70,2025/04/16,消耗品費,,,,課税仕入 10%,,1100,100,未払金,VISA,,,対象外,,1100,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
84,2025/04/16,旅費交通費,,,,課税仕入 10%,,1500,136,現金,,,,対象外,,1500,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
87,2025/04/16,通信費,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
67,2025/04/18,車両費,,,,課税仕入 10%,,4800,436,未払金,ｱﾒﾘｶﾝEX,,,対象外,,4800,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
79,2025/04/18,荷造運賃,,,,課税仕入 10%,,1100,100,現金,,,,対象外,,1100,0,ローソン 宅配便,,,簡単入力,No
16,2025/04/19,仕入高,,,,課税仕入 10%,,86600,7872,未払金,ｱﾒﾘｶﾝEX,,,対象外,,86600,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
29,2025/04/19,水道光熱費,,,,課税仕入 10%,,23900,2172,普通預金,三井住友BK,,,対象外,,23900,0,ｶﾝｻｲﾃﾞﾝﾘﾖｸ,,,振替伝票,No
15,2025/04/20,仕入高,,,,課税仕入 10%,,50600,4600,未払金,ｱﾒﾘｶﾝEX,,,対象外,,50600,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
40,2025/04/20,荷造運賃,,,,課税仕入 10%,,2800,254,現金,,,,対象外,,2800,0,佐川急便 着払い,,,簡単入力,No
41,2025/04/20,荷造運賃,,,,課税仕入 10%,,2600,236,現金,,,,対象外,,2600,0,佐川急便 着払い,,,簡単入力,No
81,2025/04/20,荷造運賃,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
102,2025/04/20,役員借入金,,,,対象外,,106300,0,普通預金,三井住友BK,,,対象外,,490500,0,役員借入金 返済 ﾃｽﾄﾀﾛｳ,,,振替伝票,No
1113,2025/04/20,保険料,,,,非課税仕入,,36000,0,普通預金,三井住友BK,,,対象外,,36000,0,ｿﾝﾎﾟｼﾞﾔﾊﾟﾝ 火災保険,,,振替伝票,No
22,2025/04/21,仕入高,,,,課税仕入 10%,,188800,17163,未払金,ｱﾒﾘｶﾝEX,,,対象外,,188800,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
33,2025/04/21,荷造運賃,,,,課税仕入 10%,,10600,963,未払金,ｱﾒﾘｶﾝEX,,,対象外,,10600,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
61,2025/04/21,支払手数料,,,,課税仕入 10%,,200,18,普通預金,三井住友BK,,,対象外,,200,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
89,2025/04/21,荷造運賃,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,日本郵便 ゆうパック,,,簡単入力,No
36,2025/04/22,荷造運賃,,,,課税仕入 10%,,8400,763,未払金,ｱﾒﾘｶﾝEX,,,対象外,,8400,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
63,2025/04/22,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
13,2025/04/23,仕入高,,,,課税仕入 10%,,98500,8954,未払金,ｱﾒﾘｶﾝEX,,,対象外,,98500,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
20,2025/04/23,仕入高,,,,課税仕入 10%,,44500,4045,未払金,VISA,,,対象外,,44500,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
57,2025/04/23,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
25,2025/04/24,仕入高,,,,課税仕入 10%,,414900,37718,普通預金,三井住友BK,,,対象外,,414900,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
52,2025/04/24,旅費交通費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,JR西日本 交通費,,,簡単入力,No
58,2025/04/24,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
59,2025/04/24,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
72,2025/04/24,消耗品費,,,,課税仕入 10%,,400,36,未払金,VISA,,,対象外,,400,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
80,2025/04/24,荷造運賃,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
1,2025/04/25,給料手当,,,,対象外,,280000,0,普通預金,三井住友BK,,,対象外,,205000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
1,2025/04/25,,,,,,,,0,預り金,源泉所得税,,,対象外,,45000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
1,2025/04/25,,,,,,,,0,預り金,住民税,,,対象外,,30000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
2,2025/04/25,給料手当,,,,対象外,,250000,0,普通預金,三井住友BK,,,対象外,,175000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
2,2025/04/25,,,,,,,,0,預り金,源泉所得税,,,対象外,,45000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
2,2025/04/25,,,,,,,,0,預り金,住民税,,,対象外,,30000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
8,2025/04/25,役員報酬,,,,対象外,,500000,0,普通預金,三井住友BK,,,対象外,,500000,0,役員報酬 ﾃｽﾄﾀﾛｳ,,,振替伝票,No
92,2025/04/25,会議費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
62,2025/04/26,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
68,2025/04/26,車両費,,,,課税仕入 10%,,6300,572,未払金,VISA,,,対象外,,6300,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
14,2025/04/27,仕入高,,,,課税仕入 10%,,42100,3827,未払金,ｱﾒﾘｶﾝEX,,,対象外,,42100,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
23,2025/04/27,仕入高,,,,課税仕入 10%,,107200,9745,未払金,ｱﾒﾘｶﾝEX,,,対象外,,107200,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
27,2025/04/27,仕入高,,,,課税仕入 10%,,84900,7718,未払金,VISA,,,対象外,,84900,0,ﾋﾞﾂｸｶﾒﾗ ﾅﾝﾊﾞﾃﾝ,,,簡単入力,No
32,2025/04/27,通信費,,,,課税仕入 10%,,3300,300,未払金,VISA,,,対象外,,3300,0,ｻｸﾗｲﾝﾀ-ﾈﾂﾄ,,,簡単入力,No
39,2025/04/27,荷造運賃,,,,課税仕入 10%,,5100,463,現金,,,,対象外,,5100,0,佐川急便 着払い,,,簡単入力,No
65,2025/04/27,車両費,,,,課税仕入 10%,,7500,681,未払金,ｱﾒﾘｶﾝEX,,,対象外,,7500,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
76,2025/04/27,会議費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
94,2025/04/27,未払金,ｱﾒﾘｶﾝEX,,,対象外,,242700,0,普通預金,三井住友BK,,,対象外,,220200,0,ｱﾒﾘｶﾝEX ｶｰﾄﾞ引落し,,,振替伝票,No
95,2025/04/27,未払金,VISA,,,対象外,,186000,0,普通預金,三井住友BK,,,対象外,,293500,0,VISAﾋｷｵﾄｼ,,,振替伝票,No
98,2025/04/27,現金,,,,対象外,,79600,0,普通預金,三井住友BK,,,対象外,,108500,0,ATM 引出し,,,振替伝票,No
4,2025/04/28,普通預金,三井住友BK,,,対象外,,705300,0,売掛金,,,,対象外,,705300,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
4,2025/04/28,支払手数料,,,,課税仕入 10%,,34600,3145,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
4,2025/04/28,販売促進費,,,,課税仕入 10%,,10800,981,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
6,2025/04/28,普通預金,三井住友BK,,,対象外,,351700,0,売掛金,,,,対象外,,351700,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
6,2025/04/28,支払手数料,,,,課税仕入 10%,,28500,2590,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
6,2025/04/28,広告宣伝費,,,,課税仕入 10%,,22800,2072,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
7,2025/04/28,未払費用,,,,対象外,,180000,0,普通預金,三井住友BK,,,対象外,,360000,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
7,2025/04/28,預り金,社会保険,,,対象外,,180000,0,,,,,,,0,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
11,2025/04/28,売掛金,,,,対象外,,509200,0,売上高,,,,課税売上 10%,,591200,53745,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
12,2025/04/28,売掛金,,,,対象外,,533700,0,売上高,,,,課税売上 10%,,936200,85109,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
53,2025/04/28,旅費交通費,,,,課税仕入 10%,,1900,172,現金,,,,対象外,,1900,0,JR西日本 交通費,,,簡単入力,No
122,2025/05/02,仕入高,,,,課税仕入 10%,,77200,7018,未払金,VISA,,,対象外,,77200,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
169,2025/05/02,車両費,,,,課税仕入 10%,,3800,345,未払金,VISA,,,対象外,,3800,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
164,2025/05/03,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
144,2025/05/04,広告宣伝費,,,,課税仕入 10%,,41200,3745,未払金,ｱﾒﾘｶﾝEX,,,対象外,,41200,0,GOOGLE ADS,,,簡単入力,No
149,2025/05/04,消耗品費,,,,課税仕入 10%,,9500,863,未払金,VISA,,,対象外,,9500,0,ｱｽｸﾙ,,,簡単入力,No
128,2025/05/05,仕入高,,,,課税仕入 10%,,139800,12709,普通預金,三井住友BK,,,対象外,,139800,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
136,2025/05/05,荷造運賃,,,,課税仕入 10%,,15000,1363,未払金,ｱﾒﾘｶﾝEX,,,対象外,,15000,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
145,2025/05/05,会議費,,,,課税仕入 10%,,2700,245,現金,,,,対象外,,2700,0,STARBUCKS #12345,,,簡単入力,No
161,2025/05/05,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
178,2025/05/05,荷造運賃,,,,課税仕入 10%,,500,45,現金,,,,対象外,,500,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
134,2025/05/06,通信費,,,,課税仕入 10%,,17300,1572,未払金,VISA,,,対象外,,17300,0,NTTﾄﾞｺﾓ,,,簡単入力,No
154,2025/05/06,旅費交通費,,,,課税仕入 10%,,1200,109,現金,,,,対象外,,1200,0,JR西日本 交通費,,,簡単入力,No
121,2025/05/07,仕入高,,,,課税仕入 10%,,97400,8854,未払金,ｱﾒﾘｶﾝEX,,,対象外,,97400,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
159,2025/05/07,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
117,2025/05/08,仕入高,,,,課税仕入 10%,,81300,7390,未払金,ｱﾒﾘｶﾝEX,,,対象外,,81300,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
143,2025/05/08,広告宣伝費,,,,課税仕入 10%,,47600,4327,未払金,VISA,,,対象外,,47600,0,ﾗｸﾃﾝ ｺｳｺｸ,,,簡単入力,No
124,2025/05/09,仕入高,,,,課税仕入 10%,,58900,5354,未払金,VISA,,,対象外,,58900,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
179,2025/05/09,旅費交通費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
116,2025/05/10,仕入高,,,,課税仕入 10%,,111500,10136,未払金,ｱﾒﾘｶﾝEX,,,対象外,,111500,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
120,2025/05/10,仕入高,,,,課税仕入 10%,,67600,6145,未払金,ｱﾒﾘｶﾝEX,,,対象外,,67600,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
193,2025/05/10,預り金,源泉所得税,,,対象外,,45000,0,普通預金,日本信金,,,対象外,,45000,0,ｾﾞｲﾑｼﾖ ｹﾞﾝｾﾝ 納付,,,振替伝票,No
194,2025/05/10,預り金,住民税,,,対象外,,30000,0,普通預金,日本信金,,,対象外,,30000,0,ｼﾞﾕｳﾐﾝｾﾞｲ 納付,,,振替伝票,No
126,2025/05/11,仕入高,,,,課税仕入 10%,,73700,6700,未払金,ｱﾒﾘｶﾝEX,,,対象外,,73700,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
147,2025/05/11,会議費,,,,課税仕入 10%,,2900,263,現金,,,,対象外,,2900,0,STARBUCKS #12345,,,簡単入力,No
188,2025/05/11,消耗品費,,,,課税仕入 10%,,22700,2063,役員借入金,,,,対象外,,22700,0,役員立替 ﾃｽﾄﾀﾛｳ,,,簡単入力,No
173,2025/05/12,会議費,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
152,2025/05/13,旅費交通費,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,JR西日本 交通費,,,簡単入力,No
158,2025/05/13,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
177,2025/05/13,荷造運賃,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,ローソン 宅配便,,,簡単入力,No
182,2025/05/14,通信費,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
184,2025/05/14,荷造運賃,,,,課税仕入 10%,,1300,118,現金,,,,対象外,,1300,0,日本郵便 ゆうパック,,,簡単入力,No
192,2025/05/14,現金,,,,対象外,,53400,0,普通預金,三井住友BK,,,対象外,,149400,0,ATM 引出し,,,振替伝票,No
195,2025/05/14,普通預金,三井住友BK,,,対象外,,217800,0,役員借入金,,,,対象外,,554200,0,ﾃｽﾄ ﾀﾛｳ 役員借入,,,振替伝票,No
105,2025/05/15,普通預金,三井住友BK,,,対象外,,402200,0,売掛金,,,,対象外,,402200,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
105,2025/05/15,支払手数料,,,,課税仕入 10%,,23500,2136,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
105,2025/05/15,販売促進費,,,,課税仕入 10%,,7900,718,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
107,2025/05/15,普通預金,三井住友BK,,,対象外,,746600,0,売掛金,,,,対象外,,746600,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
107,2025/05/15,支払手数料,,,,課税仕入 10%,,48200,4381,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
107,2025/05/15,広告宣伝費,,,,課税仕入 10%,,24400,2218,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
111,2025/05/15,売掛金,,,,対象外,,420900,0,売上高,,,,課税売上 10%,,698500,63500,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
112,2025/05/15,売掛金,,,,対象外,,921600,0,売上高,,,,課税売上 10%,,920300,83663,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
